Implementation,M=N=K,GFLOPS
MNK,2,0.00245211
MKN,2,0.0253968
NKM,2,0.033543
NMK,2,0.0299625
KNM,2,0.0334728
KMN,2,0.0338983
MNK,4,0.192481
MKN,4,0.178025
NKM,4,0.166234
NMK,4,0.169987
KNM,4,0.189069
KMN,4,0.224168
MNK,8,0.610614
MKN,8,0.657253
NKM,8,0.650572
NMK,8,0.751284
KNM,8,0.616867
KMN,8,0.662354
MNK,16,0.750596
MKN,16,0.850763
NKM,16,0.861681
NMK,16,0.689562
KNM,16,0.828563
KMN,16,0.867521
MNK,32,0.725461
MKN,32,0.945099
NKM,32,0.944636
NMK,32,0.706595
KNM,32,0.658468
KMN,32,0.765643
MNK,64,0.623762
MKN,64,0.962825
NKM,64,0.662714
NMK,64,0.633426
KNM,64,0.658754
KMN,64,0.852124
MNK,128,0.619278
MKN,128,1.3347
NKM,128,0.396683
NMK,128,1.40938
KNM,128,0.604907
KMN,128,3.42736
MNK,256,1.29058
MKN,256,3.46152
NKM,256,0.586031
NMK,256,1.27677
KNM,256,0.568414
KMN,256,3.33343
MNK,512,0.637835
MKN,512,3.48246
NKM,512,0.312851
NMK,512,0.59318
KNM,512,0.31411
KMN,512,3.39939
MNK,1024,0.638433
MKN,1024,3.57156
NKM,1024,0.32096
NMK,1024,0.590727
KNM,1024,0.314651
KMN,1024,3.479
