Implementation,M=N=K,GFLOPS

2,M=N=K,0.4
2,M=K=N,0.4
2,K=M=N,0.4
2,K=N=M,0.4
2,N=K=M,0.4
2,N=M=K,0.4
4,M=N=K,0.8
4,M=K=N,0.8
4,K=M=N,0.711111
4,K=N=M,0.711111
4,N=K=M,0.304762
4,N=M=K,0.711111
8,M=N=K,0.867797
8,M=K=N,0.898246
8,K=M=N,1.50588
8,K=N=M,2.84444
8,N=K=M,2.84444
8,N=M=K,3.41333
16,M=N=K,2.60892
16,M=K=N,3.01176
16,K=M=N,2.96812
16,K=N=M,2.98978
16,N=K=M,2.98978
16,N=M=K,2.39532
32,M=N=K,2.39182
32,M=K=N,3.17827
32,K=M=N,3.14774
32,K=N=M,3.15077
32,N=K=M,3.15077
32,N=M=K,2.21256
64,M=N=K,2.19643
64,M=K=N,3.49712
64,K=M=N,3.11928
64,K=N=M,2.47282
64,N=K=M,2.35318
64,N=M=K,2.33224
128,M=N=K,1.76142
128,M=K=N,3.35383
128,K=M=N,3.40248
128,K=N=M,0.710928
128,N=K=M,0.697157
128,N=M=K,1.73654
256,M=N=K,1.31881
256,M=K=N,3.47315
256,K=M=N,3.36201
256,K=N=M,0.591756
256,N=K=M,0.582564
256,N=M=K,1.29571
512,M=N=K,0.674656
512,M=K=N,3.49991
512,K=M=N,3.41406
512,K=N=M,0.328023
512,N=K=M,0.327962
512,N=M=K,0.630133
1024,M=N=K,0.672178
1024,M=K=N,3.55657
1024,K=M=N,3.48821
1024,K=N=M,0.332104
1024,N=K=M,0.337839
1024,N=M=K,0.612373
